recno,lam_U,U,lam_B,B,lam_V,V,lam_R,R,lam_I,I
1,3000,0.0,3600,0.0,4700,0.0,5500,0.0,7000,0.0
2,3050,0.019,3700,0.031,4800,0.033,5600,0.247,7100,0.09
3,3100,0.068,3800,0.137,4900,0.176,5700,0.78,7200,0.356
4,3150,0.167,3900,0.584,5000,0.485,5800,0.942,7300,0.658
5,3200,0.278,4000,0.947,5100,0.811,5900,0.998,7400,0.865
6,3250,0.398,4100,1.0,5200,0.986,6000,1.0,7500,0.96
7,3300,0.522,4200,1.0,5300,1.0,6100,0.974,7600,1.0
8,3350,0.636,4300,0.957,5400,0.955,6200,0.94,7700,0.998
9,3400,0.735,4400,0.895,5500,0.865,6300,0.901,7800,0.985
10,3450,0.813,4500,0.802,5600,0.75,6400,0.859,7900,0.973
11,3500,0.885,4600,0.682,5700,0.656,6500,0.814,8000,0.97
12,3550,0.94,4700,0.577,5800,0.545,6600,0.76,8100,0.958
13,3600,0.98,4800,0.474,5900,0.434,6700,0.713,8200,0.932
14,3650,1.0,4900,0.369,6000,0.334,6800,0.662,8300,0.904
15,3700,1.0,5000,0.278,6100,0.249,6900,0.605,8400,0.86
16,3750,0.974,5100,0.198,6200,0.18,7000,0.551,8500,0.81
17,3800,0.918,5200,0.125,6300,0.124,7100,0.497,8600,0.734
18,3850,0.802,5300,0.078,6400,0.075,7200,0.446,8700,0.59
19,3900,0.59,5400,0.036,6500,0.041,7300,0.399,8800,0.392
20,3950,0.355,5500,0.008,6600,0.022,7400,0.35,8900,0.203
21,4000,0.194,5600,0.0,6700,0.014,7500,0.301,9000,0.07
22,4050,0.107,,,6800,0.011,7600,0.257,9100,0.008
23,4100,0.046,,,6900,0.008,7700,0.215,9200,0.0
24,4150,0.003,,,7000,0.006,7800,0.177,,
25,4200,0.0,,,7100,0.004,7900,0.144,,
26,,,,,7200,0.002,8000,0.116,,
27,,,,,7300,0.001,8100,0.089,,
28,,,,,7400,0.0,8200,0.066,,
29,,,,,,,8300,0.051,,
30,,,,,,,8400,0.039,,
31,,,,,,,8500,0.03,,
32,,,,,,,8600,0.021,,
33,,,,,,,8700,0.014,,
34,,,,,,,8800,0.008,,
35,,,,,,,8900,0.006,,
36,,,,,,,9000,0.003,,
37,,,,,,,9100,0.0,,
